W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
6,4,0.3,0.05,False,11903,8480,161,0.42060942367601245,3510.4484291194285
6,4,0.3,0.1,False,11964,8417,163,0.41764018691588783,3510.4484291194285
6,4,0.4,0.02,False,15965,4407,172,0.22288746105919002,3510.4484291194285
6,4,0.4,0.05,False,15990,4383,171,0.22167056074766356,3510.4484291194285
6,4,0.4,0.1,False,16021,4350,173,0.22016160436137072,3510.4484291194285
6,4,0.5,0.02,False,18080,2297,167,0.11993769470404984,3510.4484291194285
6,4,0.5,0.05,False,18090,2288,166,0.11945093457943926,3510.4484291194285
6,4,0.5,0.1,False,18104,2274,166,0.11876947040498442,3510.4484291194285
6,4,0.6,0.02,False,19397,998,149,0.05583138629283489,3510.4484291194285
6,4,0.6,0.05,False,19405,991,148,0.05544197819314642,3510.4484291194285
6,4,0.6,0.1,False,19418,978,148,0.05480919003115265,3510.4484291194285
6,4,0.7,0.02,False,19977,423,144,0.027599299065420562,3510.4484291194285
6,4,0.7,0.05,False,19986,415,143,0.027161214953271028,3510.4484291194285
6,4,0.7,0.1,False,19991,411,142,0.026917834890965733,3510.4484291194285
6,6,0.3,0.02,False,12179,8203,162,0.40717484423676015,3510.4484291194285
6,6,0.3,0.05,False,12223,8160,161,0.4050330996884735,3510.4484291194285
6,6,0.3,0.1,False,12280,8101,163,0.4022585669781931,3510.4484291194285
6,6,0.4,0.02,False,16090,4282,172,0.21680295950155765,3510.4484291194285
6,6,0.4,0.05,False,16113,4260,171,0.21568341121495327,3510.4484291194285
6,6,0.4,0.1,False,16149,4222,173,0.21393107476635514,3510.4484291194285
6,6,0.5,0.02,False,18126,2251,167,0.11769859813084112,3510.4484291194285
6,6,0.5,0.05,False,18136,2242,166,0.11721183800623053,3510.4484291194285
6,6,0.5,0.1,False,18154,2224,166,0.11633566978193147,3510.4484291194285
6,6,0.6,0.02,False,19410,985,149,0.055198598130841124,3510.4484291194285
6,6,0.6,0.05,False,19418,978,148,0.05480919003115265,3510.4484291194285
6,6,0.6,0.1,False,19431,965,148,0.054176401869158876,3510.4484291194285
6,6,0.7,0.02,False,19981,419,144,0.027404595015576325,3510.4484291194285
6,6,0.7,0.05,False,19990,411,143,0.02696651090342679,3510.4484291194285
6,6,0.7,0.1,False,19995,407,142,0.026723130841121497,3510.4484291194285
8,2,0.3,0.02,False,10475,9907,162,0.490118769470405,3510.4484291194285
8,2,0.3,0.05,False,10519,9863,162,0.48797702492211836,3510.4484291194285
8,2,0.3,0.1,False,10568,9814,162,0.4855919003115265,3510.4484291194285
8,2,0.4,0.02,False,14897,5475,172,0.27487344236760125,3510.4484291194285
8,2,0.4,0.05,False,14914,5458,172,0.2740459501557632,3510.4484291194285
8,2,0.4,0.1,False,14929,5443,172,0.27331580996884736,3510.4484291194285
8,2,0.5,0.02,False,17400,2977,167,0.1530373831775701,3510.4484291194285
8,2,0.5,0.05,False,17410,2967,167,0.1525506230529595,3510.4484291194285
8,2,0.5,0.1,False,17421,2956,167,0.15201518691588786,3510.4484291194285
8,2,0.6,0.02,False,19031,1364,149,0.07364680685358256,3510.4484291194285
8,2,0.6,0.05,False,19031,1364,149,0.07364680685358256,3510.4484291194285
8,2,0.6,0.1,False,19032,1363,149,0.07359813084112149,3510.4484291194285
8,2,0.7,0.02,False,19792,608,144,0.03660436137071651,3510.4484291194285
8,2,0.7,0.05,False,19792,608,144,0.03660436137071651,3510.4484291194285
8,2,0.7,0.1,False,19792,608,144,0.03660436137071651,3510.4484291194285
8,3,0.3,0.02,False,11423,8959,162,0.44397390965732086,3510.4484291194285
8,3,0.3,0.05,False,11479,8903,162,0.44124805295950154,3510.4484291194285
